RelError,σ
0.0006264345870005887,  0.001
-0.0010283246425514677, 0.005
-0.005276809121161184,  0.01
-0.0005212095733877472,  0.001
-0.0006802736496379908, 0.005
0.00017871012099209506,  0.01
-0.000752213162232788,  0.001
0.00021350925305632746, 0.005
0.0003521694081213961,  0.01
0.00019210340866540826,  0.001
-0.000636147579513657, 0.005
0.0028648696285121147,  0.01
-0.00010767809596777715,  0.001
-0.0011609775108754102, 0.005
-0.00018121245035592192,  0.01
0.00039910790377197707,  0.001
-0.0037945448218275083, 0.005
0.003763679136828296,  0.01
-0.001100044197849227,  0.001
-0.0011983139031513349, 0.005
0.004297333818204733,  0.01
-0.0004897402072545612,  0.001
-0.0024553758043662664, 0.005
0.0036345553049456337,  0.01
-0.00020135461556152354,  0.001
-0.0005390501801058015, 0.005
0.00401228399171839,  0.01
-0.00011700418667448973,  0.001
-0.0006704253165104383, 0.005
-7.551341557597829e-5,  0.01
0.0003865407877844087,  0.001
0.0027083036935600874, 0.005
-0.00473540834354124,  0.01
-0.00018728185386410664,  0.001
-0.0017325815729671574, 0.005
0.001992723353955785,  0.01
-0.0001592117989101101,  0.001
0.0007138934505394459, 0.005
0.00033827317675453987,  0.01
-0.0002937978367275567,  0.001
-0.00013495917640291794, 0.005
-0.0027768629937411343,  0.01
-0.0004701921002981389,  0.001
-0.0019524749267948343, 0.005
-0.0005219074622204847,  0.01
0.0001646856952594891,  0.001
4.727642824620674e-5, 0.005
0.001495163200481699,  0.01
-0.0007318500382139595,  0.001
0.0018002897520954593, 0.005
0.008963022873514175,  0.01
0.0011222575661005531,  0.001
-0.0009846987390551832, 0.005
-0.001985875513480536,  0.01
0.00028267188097999617,  0.001
-0.000682304292969665, 0.005
-0.0015209058212956321,  0.01
-0.00013528958351756638,  0.001
0.0014586411159001485, 0.005
-0.0011903363840587732,  0.01
0.00032188673215545217,  0.001
0.002296571357828153, 0.005
-0.0031203425148886264,  0.01
0.00024294727554845965,  0.001
0.0009875806145203114, 0.005
-0.00495446592648751,  0.01
2.7480637709763174e-5,  0.001
-0.0034639981061445075, 0.005
-0.00038112725476863483,  0.01
-0.0005010437496412474,  0.001
-0.0001070225130244028, 0.005
-0.0035304488657622556,  0.01
-0.0001002981158896935,  0.001
-5.270646458886801e-5, 0.005
0.0013580680769335633,  0.01
-0.0007722444003513436,  0.001
-0.001002133459302564, 0.005
-0.003473110267621114,  0.01
-0.0001813728318770544,  0.001
-0.0001418632421866925, 0.005
-0.0019920803290484736,  0.01
0.0001171636156887929,  0.001
-0.0008599546962412284, 0.005
-0.0025064197816101652,  0.01
-0.00010961243306055178,  0.001
-0.0013590761093018602, 0.005
0.003996894706564774,  0.01
0.00017140418518471554,  0.001
4.213944470277843e-5, 0.005
-0.0018473643111800058,  0.01
-2.2469323641990138e-5,  0.001
0.0022868988726906145, 0.005
0.0023886285917028086,  0.01
7.966331729625803e-5,  0.001
0.0014434580108506757, 0.005
8.940345033726067e-5,  0.01
0.00010667679715279417,  0.001
0.0016465588197355498, 0.005
0.0006000344368352172,  0.01
0.0001518893044630244,  0.001
0.0005160397263248856, 0.005
0.002465033089411581,  0.01
0.0006316926942238991,  0.001
-0.001801273143060621, 0.005
-0.004545275730836716,  0.01
-4.660597121550854e-5,  0.001
-6.868451488688892e-5, 0.005
-0.002274900395828269,  0.01
0.00018370932313310063,  0.001
-0.0011916623520481847, 0.005
-0.0060851546438828825,  0.01
0.00013986089458675928,  0.001
-0.0013766579577300167, 0.005
-0.0013587698307127164,  0.01
3.2067302176317608e-6,  0.001
0.00023074252469857764, 0.005
0.0035311719587574884,  0.01
0.00036492771192644295,  0.001
0.002073917822718291, 0.005
-0.0005805686828169772,  0.01
-0.00025862873880162595,  0.001
0.00040359327828267343, 0.005
-0.0011176383362648161,  0.01
-0.00023140956707433486,  0.001
0.0011079760717388066, 0.005
-8.383886621418808e-5,  0.01
-0.0002686997512452072,  0.001
0.00014785400090657974, 0.005
0.0009934083245745125,  0.01
0.0011067933188887954,  0.001
0.00033183337201045116, 0.005
-0.00283407709197668,  0.01
-8.901525075378545e-5,  0.001
-0.0017358242187257961, 0.005
0.004594719435887685,  0.01
-0.00021874643231289379,  0.001
-0.002683580689588298, 0.005
-0.00011299316444471688,  0.01
3.798309914930128e-5,  0.001
0.003170951052375705, 0.005
-0.002793882647262327,  0.01
0.00029090859549105186,  0.001
-0.0019672026573873728, 0.005
-0.0012266492978587496,  0.01
-0.0005008907048933965,  0.001
0.0030601702202254907, 0.005
0.0064499690774677924,  0.01
0.00013798998376986566,  0.001
0.0023671815825448282, 0.005
-0.0026723501370482174,  0.01
-0.0005004448848012449,  0.001
-0.0001660203696727679, 0.005
-0.0033053252722472243,  0.01
0.00032113530873134,  0.001
-0.0004651578319560024, 0.005
-0.00517769147946412,  0.01
3.367483239464735e-5,  0.001
0.0011194859067643057, 0.005
0.0022534286640382467,  0.01
-0.000361193733769169,  0.001
0.0001112424947177786, 0.005
0.0034082618625221788,  0.01
-0.00013218827184267816,  0.001
6.405384429757092e-5, 0.005
0.004189680447636306,  0.01
-0.00018330156231233328,  0.001
0.0003247752958170876, 0.005
0.003339972007829488,  0.01
-0.0006126636164731738,  0.001
0.004610125579741094, 0.005
-0.001168263974053996,  0.01
-0.00016585852151472134,  0.001
-0.0012649577140153628, 0.005
0.003557208257687948,  0.01
-0.00020678072175545314,  0.001
-0.0015881881020164733, 0.005
0.0029338793655152187,  0.01
0.00046616988278643006,  0.001
-2.1174198170425305e-5, 0.005
0.005553845954167805,  0.01
-5.060162513477741e-5,  0.001
0.0018835265430662215, 0.005
-0.005417469090154373,  0.01
0.00015120013121982636,  0.001
0.004710657582534355, 0.005
-0.001967529038691515,  0.01
0.00016372402460662305,  0.001
0.0011282274221336844, 0.005
-0.0036791450577443,  0.01
