JSD,Norm,σ
0.07473586932857114, 0.00809542603568, 0.01
0.06888289061479162, 0.006446385367150604, 0.005
0.047996528423936244, 0.0037426430368559973, 0.001
0.07714978091157709, 0.008487261875143908, 0.01
0.0698932522105011, 0.00690577508097196, 0.005
0.04497098305252792, 0.003388589728343543, 0.001
0.07944068236286819, 0.008805176723675319, 0.01
0.07087904864301532, 0.007093643640604349, 0.005
0.047147399386947536, 0.003733439939794388, 0.001
0.08089924331041981, 0.00925310277734825, 0.01
0.06977714914652239, 0.007594324583372234, 0.005
0.04551782381479975, 0.0035577547635446335, 0.001
0.07606583365091395, 0.007899666158962626, 0.01
0.07160175902050189, 0.0073111596988749555, 0.005
0.045890557135402035, 0.0035076620029000378, 0.001
0.0777679416036874, 0.00805237765867034, 0.01
0.07106682332354593, 0.007206437512309765, 0.005
0.04549971457553626, 0.0036895888003320963, 0.001
0.07453893811356141, 0.008403501401599893, 0.01
0.06903500944134928, 0.006735238805889627, 0.005
0.045176307338932055, 0.003579852120127008, 0.001
0.07593145248235167, 0.00788968540814805, 0.01
0.07273883670329362, 0.007315591172713283, 0.005
0.046384091771655346, 0.003674937936324035, 0.001
0.07672993598939959, 0.008331501707581238, 0.01
0.07003708165433965, 0.00764748104188594, 0.005
0.04578794689842035, 0.0035299156167369226, 0.001
0.07890174876676236, 0.008601435535725326, 0.01
0.07164681396733866, 0.007013297234651312, 0.005
0.046060478135550115, 0.003681089609810434, 0.001
0.07490752458534353, 0.00840400872336744, 0.01
0.07138885381935509, 0.00704034786098734, 0.005
0.04393528750010947, 0.0032184649271802574, 0.001
0.07520596292520954, 0.00840598442872027, 0.01
0.07038445184367201, 0.007223105756584856, 0.005
0.04550029817528377, 0.003506610618807422, 0.001
0.07879204781174672, 0.008655403665573894, 0.01
0.07045835706973828, 0.007056360877973008, 0.005
0.04492400116462357, 0.003419075911545781, 0.001
0.07538923389119752, 0.007978790095941483, 0.01
0.06818576038083611, 0.00655361190269455, 0.005
0.046501941203556996, 0.003575993806469852, 0.001
0.07529737651305067, 0.00793273982872362, 0.01
0.07048896008774781, 0.007299830872986791, 0.005
0.04543800917453889, 0.0034441436694762563, 0.001
0.07734854080920125, 0.008305842482776845, 0.01
0.07359995084716374, 0.0073581374970892776, 0.005
0.047809511835148685, 0.003813123549500666, 0.001
0.07619472931300701, 0.008654073816394896, 0.01
0.06980758443876993, 0.00703528273559237, 0.005
0.043917333638013624, 0.003370398243663345, 0.001
0.07704965255033845, 0.008592770924435347, 0.01
0.06889236656152373, 0.006772909192368252, 0.005
0.04497969167836614, 0.0034326933771404783, 0.001
0.07631665884151018, 0.008283208131062845, 0.01
0.06894244228564674, 0.006728842996332688, 0.005
0.04475706951498466, 0.00330909925423492, 0.001
0.07991700057690625, 0.009206346356399848, 0.01
0.06880787568530579, 0.006682018263959555, 0.005
0.04530380465577339, 0.0034542323845097134, 0.001
0.07691568088715665, 0.008304893189270909, 0.01
0.07025396373919274, 0.007079630097167206, 0.005
0.04711904833656905, 0.003654629112786975, 0.001
0.07769691273880841, 0.008718962982262648, 0.01
0.071684230999606, 0.007655507135395005, 0.005
0.04690593976460137, 0.0036425586027530746, 0.001
0.07323395649782394, 0.007881907765111818, 0.01
0.0682336156980354, 0.006496206603606801, 0.005
0.04592083574360076, 0.0036234161774215214, 0.001
0.07732022032985929, 0.008656966529507195, 0.01
0.06775279913809121, 0.006383707269179823, 0.005
0.04702658777147712, 0.003759654533771261, 0.001
0.08128916935003343, 0.009418569099498252, 0.01
