JSD,Norm,σ
0.0054880495492098495, 0.009389481466378066, 0.01
0.0049705986473868626, 0.007145503809332224, 0.005
0.0025506801425999436, 0.004482034387066501, 0.001
0.006054827307800024, 0.008126877520102247, 0.01
0.00444249827449547, 0.007084129797237456, 0.005
0.002538593740454722, 0.004103589131208769, 0.001
0.005465125497944791, 0.00794362767663942, 0.01
0.004417642008609959, 0.007423723861519031, 0.005
0.0025740847887420534, 0.004249908406010486, 0.001
0.005553014171469107, 0.008669449257565392, 0.01
0.004300372376487037, 0.0076014997631892334, 0.005
0.0024166491958144036, 0.004491836116255235, 0.001
0.005506952439768488, 0.007803365339670601, 0.01
0.004537685853986638, 0.007016664940537185, 0.005
0.002614424618506344, 0.004554798436293572, 0.001
0.005011809521471547, 0.008554276156846764, 0.01
0.004585171512493229, 0.00707291156701686, 0.005
0.0023368490127225416, 0.004305934371484951, 0.001
0.005916746977832979, 0.007639529664776851, 0.01
0.004457744405580211, 0.0069858696672057356, 0.005
0.0026445853087462027, 0.004411806894738692, 0.001
0.005115446387816081, 0.007698679430162101, 0.01
0.0051006995002685525, 0.007534006133950341, 0.005
0.0022952584743925544, 0.00428777709810929, 0.001
0.005886572182174312, 0.008056079795256724, 0.01
0.004123066396786348, 0.007236767103829875, 0.005
0.0023635707975062144, 0.004293254913626133, 0.001
0.0062788734750506454, 0.008225523206627169, 0.01
0.004256771426038821, 0.006939757434713714, 0.005
0.002477569264362623, 0.004382334853129284, 0.001
0.005814746836988371, 0.00822745975572353, 0.01
0.00449735973025161, 0.007509352830011649, 0.005
0.0022519368939814635, 0.004654060452183024, 0.001
0.005766265445450888, 0.00745622266235297, 0.01
0.0047488139167478904, 0.007099251073200472, 0.005
0.002391441188296454, 0.004438159812872454, 0.001
0.006233717002890576, 0.008033532067698008, 0.01
0.004565568743033979, 0.006937132594523884, 0.005
0.0022252431043004077, 0.004294548743165565, 0.001
0.005814610030626533, 0.00798728780212723, 0.01
0.004657989417367505, 0.006991466965865727, 0.005
0.002866390002251116, 0.004178414425685386, 0.001
0.006257918763708954, 0.008027327528333222, 0.01
0.004832322792526046, 0.007334440237534722, 0.005
0.0022561398005031957, 0.004528372307691653, 0.001
0.0058586736452588845, 0.00831795875001515, 0.01
0.004428800926669186, 0.0073172856802822496, 0.005
0.0025111440224185664, 0.004538468190162784, 0.001
0.00550015755918187, 0.008223229749104196, 0.01
0.004759937265334321, 0.007771112729324403, 0.005
0.0024869893980467715, 0.0042149174423194635, 0.001
0.005650460926065638, 0.008089015557863989, 0.01
0.004826038625457773, 0.006962087105876251, 0.005
0.002425670623762817, 0.004076810278823097, 0.001
0.005510666638915522, 0.007844144492003102, 0.01
0.0050113353693897154, 0.006994159667902561, 0.005
0.002574247800659125, 0.004281846296687889, 0.001
0.006736989280784871, 0.008694848505066232, 0.01
0.004867059322259009, 0.0075090691319344895, 0.005
0.002348872070469066, 0.00461474218689414, 0.001
0.005936642868058718, 0.007877445474640482, 0.01
0.004348257204431053, 0.007003536267944027, 0.005
0.002376625583540456, 0.004121611259726627, 0.001
0.006038341435697145, 0.008506075895568834, 0.01
0.004551213654262702, 0.006964437429728983, 0.005
0.0027372893133864934, 0.0041364269646263965, 0.001
0.006554453471664627, 0.008307193612953335, 0.01
0.004830511512936705, 0.0071688737472096215, 0.005
0.00245912694213781, 0.004267271961164362, 0.001
0.006459956992522586, 0.00795874664003118, 0.01
0.004726159864578514, 0.007273675389965368, 0.005
0.0026333472358867627, 0.004496692423658309, 0.001
0.005624390873059487, 0.007717620704598641, 0.01
0.004439312697324648, 0.006977753315150511, 0.005
0.0026537302619090925, 0.004420270588851042, 0.001
0.0061489565065572585, 0.007307032139147809, 0.01
0.004217227618063369, 0.007060336748482527, 0.005
0.002312877878394605, 0.004277185189547663, 0.001
0.006363163451089622, 0.008051492316288723, 0.01
0.00462764303129564, 0.007117641016307781, 0.005
0.002527871865272491, 0.004311121542925796, 0.001
0.005647719128251447, 0.0076279285269642266, 0.01
0.004980352777721825, 0.007182167541567363, 0.005
0.0028233864079097084, 0.004775698960283705, 0.001
0.0055177842955389505, 0.008488105793829706, 0.01
0.004714241764451451, 0.007228081032359887, 0.005
0.002174251489045407, 0.004385322809952156, 0.001
0.005983666394390314, 0.007646270440234412, 0.01
0.004958653367299991, 0.0069153799489681585, 0.005
0.002620938982161763, 0.004450229826533613, 0.001
0.006024672424234963, 0.00827431765106571, 0.01
0.00488087724793264, 0.0072690485762317075, 0.005
0.0023869055553289685, 0.004377588329516216, 0.001
0.005884500613618756, 0.00764809131021663, 0.01
0.00503010981721529, 0.0069308511488248, 0.005
0.0025305502050371, 0.004165156681535766, 0.001
0.005642779266181057, 0.00833467448626191, 0.01
0.004494516072525273, 0.007048782263610463, 0.005
0.0024690028506442548, 0.0044955502632801694, 0.001
